,objectid,pulau,pejabat,id_prov,nama_prov,id_kab,nama_kab,jenis_izin,badan_usaha,nama_usaha,kode_wiup,sk_iup,tgl_berlaku,tgl_akhir,kegiatan,luas_sk,komoditas,kode_golongan,kode_jnskom,cnc,generasi,kode_wil,lokasi,geometry
0,72,KALIMANTAN,MENTERI,63,KALIMANTAN SELATAN,3,KAB. BANJAR,IUP,PT,INDOMARTA MULTI MINING,3.36379E+15,91203151811810005,1735516800000,2055888000000,OPERASI PRODUKSI,1037,BATUBARA,3,3,CNC-7,,,"KECAMATAN CINTAPURI DARUSSALAM DAN SIMPANG EMPAT, KABUPATEN BANJAR, PROVINSI KALIMANTAN SELATAN","[[[12803596.76611012, -357708.4711415374], [12806090.941083657, -357708.4711415374], [12806090.941083657, -355048.42657367635], [12807251.756020725, -355048.42657367635], [12807251.756020725, -354512.6468318264], [12808431.433377586, -354512.6468318264], [12808431.433377586, -355621.0633498442], [12807545.20655492, -355621.0633498442], [12807545.20655492, -356693.56500736356], [12806828.432710161, -356693.56500736356], [12806828.432710161, -358745.6853346217], [12806379.75337995, -358745.6853346217], [12806379.75337995, -360612.0135784318], [12803627.68810432, -360612.0135784318], [12803627.68810432, -360155.1846480343], [12804709.96101805, -360155.1846480343], [12804709.96101805, -359226.04673943215], [12805081.025950255, -359226.04673943215], [12805081.025950255, -359040.2200275644], [12805390.246782752, -359040.2200275644], [12805390.246782752, -358823.42267473956], [12805792.233820478, -358823.42267473956], [12805792.233820478, -358668.5676285069], [12806039.610441947, -358668.5676285069], [12806039.610441947, -358327.88724779006], [12805885.000025691, -358327.88724779006], [12805885.000025691, -357925.2663671972], [12805235.63636651, -357925.2663671972], [12805235.63636651, -358173.03287708113], [12804833.649328785, -358173.03287708113], [12804833.649328785, -358420.80003839335], [12804524.428496288, -358420.80003839335], [12804524.428496288, -358668.5676285069], [12804184.285558285, -358668.5676285069], [12804184.285558285, -358854.39362013695], [12803998.753147842, -358854.39362013695], [12803998.753147842, -359040.2200275644], [12803751.376526373, -359040.2200275644], [12803751.376526373, -359349.93134606094], [12803596.76611012, -359349.93134606094], [12803596.76611012, -357708.4711415374]]]"
1,99,SUMATERA,MENTERI,14,RIAU,2,KAB. INDRAGIRI HULU,IUP,PT,PENGEMBANGAN INVESTASI RIAU,3114023032014013,1073/1/IUP/PMDN/2022,1659398400000,1987113600000,OPERASI PRODUKSI,1750,BATUBARA,3,3,CNC-17,,,KECAMATAN BATANG PERANAP,"[[[11340673.124564745, -64937.491446277054], [11343101.74482599, -64937.491446277054], [11343101.74482599, -65375.68018201761], [11343835.525728593, -65375.68018201761], [11343835.525728593, -64937.491446277054], [11345404.202923462, -64937.491446277054], [11345404.202923462, -69174.05076499101], [11340673.124564745, -69174.05076499101], [11340673.124564745, -67359.74838629109], [11341439.06455504, -67359.74838629109], [11341439.06455504, -67084.52649563008], [11341771.47691101, -67084.52649563008], [11341771.47691101, -66877.95566751297], [11342517.008253781, -66877.95566751297], [11342517.008253781, -66373.58896392852], [11343032.788524019, -66373.58896392852], [11343032.788524019, -65868.913524674], [11342746.140835222, -65868.913524674], [11342746.140835222, -65558.74860533379], [11341794.668434484, -65558.74860533379], [11341794.668434484, -66201.3436968131], [11341255.696529454, -66201.3436968131], [11341255.696529454, -66740.34487146698], [11341163.857949553, -66740.34487146698], [11341163.857949553, -66820.7466636003], [11340673.124564745, -66820.7466636003], [11340673.124564745, -64937.491446277054]]]"
2,173,SUMATERA,MENTERI,16,SUMATERA SELATAN,"03, 04","MUARA ENIM, LAHAT",IUP,PT,BUKIT ASAM TBK,2116003032014002,159/1/IUP/PMDN/2020,1577811600000,1924880400000,OPERASI PRODUKSI,7621,BATUBARA,3,3,CNC-2,IUP PUSAT,KW 01.SS.2010,TAMBANG AIR LAYA,"[[[11548110.811192377, -409379.92646969855], [11555083.740419716, -409379.92646969855], [11555083.740419716, -420374.3002303598], [11548110.811192377, -420374.3002303598], [11548110.811192377, -409379.92646969855]]]"
3,186,SUMATERA,BUPATI,16,SUMATERA SELATAN,5,MUSI RAWAS UTARA,IUP,PT,GORBY ENERGY,3116053032014005,001/KPTS/DISTAMBEN/2009,1231174800000,1874854800000,OPERASI PRODUKSI,4988.19,BATUBARA,3,3,CNC-1,,KW 08 MEP 009,"DESA BERINGIN MAKMUR II, KETAPAT AIR BENING, DAN TANJUNG RAJA, KEC. RAWAS ILIR, KAB. MUSI RAWAS","[[[11480975.869300444, -287703.77715982083], [11480975.869300444, -285828.0418885799], [11482162.535072304, -285828.0418885799], [11482161.755835865, -284320.60737101006], [11483564.04746139, -284320.60737101006], [11483564.04746139, -282194.20227682946], [11487336.553684883, -282194.20227682946], [11487336.553684883, -282104.3909626358], [11487336.553684883, -281513.2645379539], [11491480.087771188, -281513.2645379539], [11491480.087771188, -286806.1891085524], [11487707.581547696, -286806.1891085524], [11487707.581547696, -287703.77715982083], [11480975.869300444, -287703.77715982083]]]"
4,192,KALIMANTAN,GUBERNUR,64,KALIMANTAN TIMUR,3,BERAU,IUP,PT,SUNGAI BERLIAN BHAKTI,3364033032014005,503/1299/IUP-OP/DPMPTSP/VIII/2018,1533574800000,1849194000000,OPERASI PRODUKSI,1000,BATUBARA,3,3,CNC-1,,KT.381 BB 2018,"KAMPUNG TELUK BAYUR, KEC. TELUK BAYUR, KAB. BERAU","[[[13066125.231860485, 230110.22117651143], [13066125.231860485, 226748.66680605925], [13064201.853698557, 226748.66680605925], [13064201.853698557, 226780.8584740904], [13064201.853698557, 231966.689125899], [13065197.606543705, 231966.689125899], [13066125.231860485, 231966.689125899], [13066125.231860485, 230110.22117651143]]]"
5,200,SUMATERA,GUBERNUR,14,RIAU,2,INDRAGIRI HULU,IUP,PT,ERA PERKASA MINING,3114023032014002,KPTS.80/DPMPTSP/2020,1291914000000,1911402000000,OPERASI PRODUKSI,1350,BATUBARA,3,3,CNC-23,,,"DESA TALANG PRING, KEC RAKIT KULIM","[[[11355051.929232039, -74183.75667609906], [11355051.929232039, -70976.8797658939], [11359279.286894916, -70976.8797658939], [11359279.286894916, -74183.75667609906], [11355051.929232039, -74183.75667609906]]]"
6,232,SUMATERA,GUBERNUR,13,SUMATERA BARAT,73,KOTA SAWAHLUNTO,IUP,CV,TAHITI COAL,3113733032014001,544-163-2018,1532970000000,1861635600000,OPERASI PRODUKSI,53.8,BATUBARA,3,3,CNC-1,,05.77.PE,DESA SIJANTANG KOTO KEC. TALAWI KAB SAWAHLUNTO,"[[[11215785.012580812, -69885.32560940558], [11215785.013137404, -69875.31605061523], [11215785.012358168, -69730.69357542408], [11215707.756631557, -69730.69357542408], [11215707.756631557, -69514.16426622933], [11215778.889786178, -69514.16426622933], [11215778.889786178, -69421.42963030662], [11216026.241694717, -69421.42963030662], [11216026.241694717, -69266.7977190043], [11216582.839148689, -69266.7977190043], [11216582.839148689, -69823.42826042755], [11216489.998693362, -69823.42826042755], [11216489.998693362, -69854.37693409491], [11216489.99501982, -69854.37838133189], [11216428.184315959, -69854.37916062018], [11216428.216375975, -69879.091343746], [11216428.216375975, -70157.43099805035], [11216428.203240275, -70157.4321113129], [11216165.39105821, -70157.45092544932], [11216165.39105821, -69891.54863119456], [11216165.347643606, -69891.56844725307], [11215785.012692131, -69891.52592065456], [11215785.012580812, -69885.32560940558]]]"
7,242,SUMATERA,GUBERNUR,15,JAMBI,4,KAB. BATANG HARI,IUP,PT,BUMI MAKMUR SEJATI,3.11504E+15,373/KEP.KA.BPMD-PPT-4/IUP/XII/2016,1481155200000,2112220800000,OPERASI PRODUKSI,1380,BATUBARA,3,3,CNC-2,,,DESA PADANG KELAPO DAN HAJRAN KECAMATAN MARO SEBO ULU DAN BATIN XXIV KABUPATEN BATANG HARI,"[[[11441417.263732655, -198687.9427924897], [11445675.234255498, -198687.9427924897], [11445675.234255498, -199114.874981106], [11447747.013655119, -199114.874981106], [11447747.013655119, -198242.44924485797], [11449024.095566427, -198242.44924485797], [11449024.095566427, -201954.92518692964], [11447298.643459128, -201954.92518692964], [11447298.643459128, -201333.08076271566], [11446967.777219566, -201209.33075058906], [11446967.777219566, -200779.30040329086], [11446664.7408527, -200779.30040329086], [11446664.7408527, -200593.67614388937], [11446426.640818354, -200593.67614388937], [11446426.640818354, -200315.23996182755], [11446098.866811607, -200315.23996182755], [11446098.866811607, -200206.95924082398], [11445415.488814091, -200206.95924082398], [11445415.488814091, -199943.99223837303], [11441417.263732655, -199943.99223837303], [11441417.263732655, -198687.9427924897]]]"
8,252,KALIMANTAN,MENTERI,64,KALIMANTAN TIMUR,"02, 08","KUTAI KARTANEGARA, KUTAI TIMUR",PKP2B,PT,INDOMINCO MANDIRI,1300003032014176,503.K/30/DJB/2016,891363600000,1854205200000,OPERASI PRODUKSI,24121,BATUBARA,3,3,-,GEN I,96PP0395,KUTAI TIMUR,"[[[13054065.657464376, 24119.317596706278], [13054065.657464376, 23191.574578896474], [13054993.282781156, 23191.574578896474], [13054993.282781156, 21336.312635906652], [13057158.754118882, 21336.312635906652], [13057158.75612264, 21336.275566307955], [13057158.446877087, 20175.45448114801], [13057545.591353143, 20175.45448114801], [13057545.591353143, 19393.74054255879], [13057932.735829186, 19393.74054255879], [13057932.735829186, 18612.02678396985], [13058319.880193926, 18612.02678396985], [13058319.880193926, 17830.31341627781], [13058707.02466997, 17830.31341627781], [13058707.02466997, 17048.90956306196], [13059179.823260298, 17048.90956306196], [13059179.823260298, 16704.43631543745], [13059831.66077253, 16704.43631543745], [13059831.66077253, 20408.57103113499], [13060126.335821124, 20408.57103113499], [13065197.606543705, 20408.57103113499], [13065197.606543705, 19480.941178166573], [13067980.593813535, 19480.941178166573], [13067980.593813535, 17934.81811595368], [13067485.778676955, 17934.81811595368], [13067485.778676955, 16419.64302842177], [13066991.07485988, 16419.64302842177], [13066991.07485988, 13884.00049561331], [13066496.259723298, 13884.00049561331], [13066496.259723298, 12894.479360648405], [13065506.740769643, 12894.479360648405], [13065506.740769643, 11379.30702468744], [13064981.090134114, 11379.30702468744], [13064981.090134114, 10358.951089416021], [13064486.386317028, 10358.951089416021], [13064486.386317028, 9369.430951366812], [13063991.571180446, 9369.430951366812], [13063991.571180446, 8348.96419378152], [13060497.363683937, 8348.96419378152], [13060497.363683937, 12090.528455513248], [13060992.178820519, 12090.528455513248], [13060992.178820519, 13605.701122399614], [13060126.335821124, 13605.701122399614], [13060126.335821124, 14525.969234946857], [13059631.594934657, 14525.969234946857], [13059631.594934657, 15137.300462087562], [13058879.260635154, 15137.300462087562], [13058879.260635154, 13605.725835380674], [13058879.247054182, 13605.701122399614], [13058085.515596414, 13605.701122399614], [13058085.515596414, 6833.7935278248415], [13057590.700459832, 6833.7935278248415], [13057590.700459832, 4329.104009853201], [13051777.374011636, 4329.104009853201], [13051777.374011636, 3834.2887718326797], [13048190.43737929, 3834.2887718326797], [13048190.43737929, 9276.590396862677], [13049396.36142306, 9276.590396862677], [13049396.36142306, 16821.619074569648], [13049798.336104311, 16821.619074569648], [13049798.336104311, 24119.317596706278], [13054065.657464376, 24119.317596706278]]]"
9,267,KALIMANTAN,GUBERNUR,64,KALIMANTAN TIMUR,2,KUTAI KARTANEGARA,IUP,PT,ALHASANIE,3.36402E+15,503/2418/IUP-OP/BPPMD-PTSP/XII/2016,1482253200000,1797786000000,OPERASI PRODUKSI,932.8,BATUBARA,3,3,CNC-1,,KW KTN 2011 007 OP,"KEL. SANGA-SANGA MUARA, SANGA-SANGA DALAM DAN SARIJAYA KEC. SANGA-SANGA KAB. KUTAI KARTANEGARA","[[[13053348.203346215, -71196.52676273399], [13053348.203346215, -71118.217755991], [13053348.228059147, -71118.2395759647], [13053603.335262654, -71118.2395759647], [13053603.335262654, -70825.0800277572], [13053950.281046065, -70824.77087446979], [13053950.281046065, -70115.06580456512], [13054199.20378394, -70114.75654033147], [13054199.20378394, -69408.76317117948], [13054199.1784031, -69408.73845678614], [13054317.907430507, -69408.73845678614], [13054317.907430507, -69165.04571318519], [13054415.31198496, -69165.04571318519], [13054415.31198496, -68965.66081625922], [13054512.7165394, -68965.66081625922], [13054512.7165394, -68770.17239537055], [13054642.626385156, -68770.17239537055], [13054642.626385156, -68542.6221735953], [13054740.364898078, -68542.6221735953], [13054740.364898078, -68369.39906913476], [13054837.769452518, -68369.39906913476], [13054837.769452518, -68163.78019246011], [13054935.17400697, -68163.78019246011], [13054935.17400697, -68012.26573257301], [13055032.578561408, -68012.26573257301], [13055032.578561408, -67839.04278210238], [13055140.447147992, -67839.04278210238], [13055140.447147992, -67605.92662822666], [13055920.908097936, -67605.92662822666], [13055920.908097936, -68524.69870093359], [13055457.151099296, -68524.69870093359], [13055457.151099296, -70349.11063192034], [13055024.229599593, -70349.11063192034], [13055024.229599593, -71957.22074150505], [13054513.941053808, -71957.22074150505], [13054513.941053808, -73767.17112344991], [13052250.253308589, -73767.17112344991], [13052250.494203962, -73766.8865718036], [13052250.494203962, -73614.73985435258], [13052491.686471118, -73615.04912049673], [13052491.686471118, -73364.27908847287], [13052491.711184049, -73364.27908847287], [13052491.711184049, -73116.91087171694], [13052708.116274148, -73116.91087171694], [13052708.116274148, -72176.75679057791], [13052958.585128436, -72176.75679057791], [13052958.585128436, -71725.88416540367], [13053137.698189124, -71725.88416540367], [13053137.698189124, -71354.16500407147], [13053209.05398272, -71354.16500407147], [13053209.05398272, -71196.52676273399], [13053348.203346215, -71196.52676273399]]]"
